date,max temp,mean temp,min temp,snow on grnd (cm),total precip (mm),total rain (mm),total snow (cm),total count,year,day
2015-11-11,-0.12385321,0.025252527,0.21714287,0.0,0.023640662,0.023640662,0.0,1.0,0.625,0.860274
2017-10-21,0.38990828,0.25252527,0.08571429,0.0,0.0,0.0,0.0,2.0,0.875,0.80273974
2014-03-25,-0.6513762,-0.8737374,-1.16,0.5757576,0.0,0.0,0.0,0.0,0.5,0.22739726
2014-12-27,-0.22935781,-0.21717173,-0.2,0.0,0.029550828,0.029550828,0.0,0.0,0.5,0.9863014
2016-04-08,-0.7110092,-0.61111116,-0.4857143,0.060606062,0.007092199,0.0,0.016216217,1.0,0.75,0.26849315
2014-03-26,-0.8486239,-0.8484848,-0.85714287,0.5757576,0.0,0.0,0.0,0.0,0.5,0.23013699
2018-08-03,0.7110092,0.7676768,0.85714287,0.0,0.0,0.0,0.0,2.0,1.0,0.5863014
2017-02-28,-0.41284406,-0.510101,-0.62857145,0.27272728,0.18439718,0.18439718,0.0,1.0,0.875,0.1589041
2011-08-14,0.5917431,0.6666667,0.7714286,0.0,0.31442082,0.31442082,0.0,1.0,0.125,0.6164384
2017-02-15,-0.64220184,-0.61111116,-0.5714286,1.0,0.023640662,0.0,0.081081085,1.0,0.875,0.12328768
2018-01-25,-1.0779817,-1.1414142,-1.2285714,0.21212122,0.0,0.0,0.0,0.0,1.0,0.06575342
2017-01-05,-0.8944954,-0.939394,-1.0,0.4848485,0.0,0.0,0.0,0.0,0.875,0.010958904
2013-07-31,0.5825689,0.5252526,0.46285716,0.0,0.014184398,0.014184398,0.0,2.0,0.375,0.5780822
2013-07-13,0.73394495,0.60606056,0.45714286,0.0,0.0,0.0,0.0,2.0,0.375,0.5287671
2015-06-01,0.20642203,0.23737374,0.2857143,0.0,0.0047281324,0.0047281324,0.0,1.0,0.625,0.41369864
2015-04-14,0.15137611,0.10101011,0.045714296,0.0,0.0,0.0,0.0,1.0,0.625,0.28219178
